SubjectID,Set,Jname,RA,Dec,SDSS_ObjId
18220893,SDRAGN01,J000209.46+025627.5,0.5394,2.941,1237678619565555745
18220894,SDRAGN01,J001627.47+022602.1,4.1145,2.4339,1237678597018550383
18217675,Green01,J010206.98+093427.6,15.52908,9.57433,1237678906252394738
18217677,Green01,J011039.98+094445.0,17.66658,9.74583,1237678833221829053
18315491,Green02,J011341.11+010608.5,18.42129,1.10236,1237666340800364769
18823875,SDRAGN09,J013525.66-004447.3,23.8569,-0.7465,1237663783134101673
18220896,SDRAGN01,J014200.38+054204.7,25.5016,5.7013,1237678663045742941
18220897,SDRAGN01,J015744.20+024044.9,29.4342,2.6792,1237680100776608455
18220899,SDRAGN01,J020000.99+052345.9,30.0041,5.3961,1237678663047709077
18220900,SDRAGN01,J020904.75+075004.5,32.2698,7.8346,1237670017266811169
18220902,SDRAGN01,J021958.73+015548.7,34.9947,1.9302,1237678618506887332
18315493,Green02,J023832.67+023349.1,39.63613,2.56364,1237678619582660656
18315497,Green02,J025210.17+025430.1,43.04238,2.90836,1237678620120973595
19039086,SDRAGN09,J03283652-2841554,52.1521,-28.6987,
18220903,SDRAGN01,J073849.51+415907.4,114.7063,41.9854,1237673310965793051
18220904,SDRAGN01,J073851.68+411222.1,114.7153,41.2061,1237673705578037778
18220906,SDRAGN01,J074714.62+424520.3,116.811,42.7556,1237651273492332882
18823876,SDRAGN09,J07523474+3550235,118.1447,35.8398,1237654628399251835
18217679,Green01,J075529.95+520450.6,118.8748,52.0807,1237663787955257699
18220907,SDRAGN01,J080217.94+112535.0,120.5748,11.4264,1237667537994318406
18220909,SDRAGN01,J080259.73+115709.7,120.7489,11.9527,1237667292107244136
18220910,SDRAGN01,J080658.46+062453.4,121.7436,6.4148,1237661066014752784
18220912,SDRAGN01,J081303.10+552050.7,123.2629,55.3474,1237663787420156524
18217681,Green01,J081716.87+174056.6,124.32029,17.68239,1237667142860013931
18220913,SDRAGN01,J081936.05+571752.3,124.9002,57.2978,1237663916805390642
18220914,SDRAGN01,J082227.34+314059.2,125.614,31.6831,1237658200734106225
18823877,SDRAGN09,J082312.91+033301.3,125.8038,3.5504,1237658298982859241
18823878,SDRAGN09,J082333.58+112946.1,125.8899,11.4961,1237667730195874896
18217683,Green01,J082400.50+031749.4,126.00208,3.29706,1237654606384595454
18220916,SDRAGN01,J082922.37+391115.5,127.3432,39.1876,1237657594077708599
18220917,SDRAGN01,J083111.76+541250.2,127.799,54.2139,1237651274035167651
18220918,SDRAGN01,J083132.73+384940.3,127.8864,38.8279,1237657606425543482
18220920,SDRAGN01,J083224.82+184855.4,128.1034,18.8154,1237667107964321840
18220921,SDRAGN01,J083351.28+045745.4,128.4637,4.9626,1237658424613798449
18220922,SDRAGN01,J083405.37+453439.2,128.5224,45.5776,1237654385732157984
18220925,SDRAGN01,J083454.61+452949.2,128.7276,45.4971,1237654654176461453
18217684,Green01,J083512.43+175441.0,128.80179,17.91139,1237667211580277054
18217686,Green01,J083515.38+343402.0,128.81408,34.56722,1237658205566337238
18220926,SDRAGN01,J083535.94+223535.9,128.8998,22.5933,1237674371829924632
18224693,SDRAGN02,J084054.91+312510.5,130.2288,31.4196,1237660963473260883
18224695,SDRAGN02,J084759.90+124159.3,131.9996,12.6998,1237667781201756510
18224696,SDRAGN02,J084948.35+425536.9,132.4515,42.9269,1237657770166452745
18224697,SDRAGN02,J085138.23+564224.9,132.9093,56.7069,1237651273499935073
18224698,SDRAGN02,J085549.15+420420.1,133.9548,42.0723,1237657118412833075
18835846,Green03,J085933.02+302438.7,134.8876,30.4108,1237661125079335515
18224700,SDRAGN02,J085935.14+371023.1,134.8964,37.1731,1237658200201298759
18224701,SDRAGN02,J090147.17+164851.3,135.4465,16.8143,1237667485918036344
18224703,SDRAGN02,J090305.84+432820.4,135.7743,43.4723,1237657401881461321
18835836,Green03,J090912.11+483641.4,137.3005,48.6115,1237654652031795551
18224704,SDRAGN02,J091129.36+284014.3,137.8723,28.6706,1237664837542019744
18823879,SDRAGN09,J091249.24+544509.4,138.2052,54.7527,1237651190286451065
18224705,SDRAGN02,J091251.98+210218.9,138.2166,21.0386,1237667253460206123
18224706,SDRAGN02,J091337.21+031720.5,138.405,3.289,1237654605316227486
18224707,SDRAGN02,J091445.53+413714.3,138.6897,41.6207,1237657628978053334
18224709,SDRAGN02,J091523.47+084737.7,138.8478,8.7938,1237660670347772380
18224710,SDRAGN02,J091949.07+135910.7,139.9545,13.9863,1237668288540181098
18835847,Green03,J092438.24+302837.1,141.1593,30.477,1237664092367159502
18224711,SDRAGN02,J092605.17+465233.9,141.5215,46.8761,1237657402420626056
18835848,Green03,J092633.24+431245.7,141.6385,43.2127,1237657775008645343
18224713,SDRAGN02,J092659.94+405804.1,141.7498,40.9678,1237657874329436789
18823880,SDRAGN09,J092754.96+351040.8,141.9791,35.1781,1237660960793428433
18217687,Green01,J093242.81-003948.8,143.1784,-0.6636,1237650795144937898
18835842,Green03,J093504.06+084137.8,143.7669,8.6938,1237660413726294438
